id;documento;id_transacao;valor;numero;total;status
1;69221;quantify;89177;67954;80991;ATRASADA
2;28159;violeta methodologies Turismo;81007;83871;60208;PENDENTE
3;69048;Alameda District Granito;46928;13531;48800;PENDENTE
4;39761;Pound;96756;60390;49633;PAGO
5;18299;virtual Bacon;58041;95669;74225;PAGO
6;70751;Congelado;34651;53817;79393;PENDENTE
7;89250;Computador mão overriding;86982;81555;36570;PAGO
8;37068;Bedfordshire;42138;29555;59402;PENDENTE
9;78920;ADP Goiás;64100;38260;37787;ATRASADA
10;10595;Grosso Francesa deposit;62248;87619;19917;ATRASADA
